Character,ID,File,Context,English,简体中文
Narr,45,Room- BoxCar,"Try waking hobo, first time",I should let the poor guy sleep,还是让这可怜人睡吧
Mick,14,Room- BoxCar,Try waking hobo,"Hey, give me a hand with this door?",嘿，搭把手弄下这门？
Narr,46,Room- BoxCar,Try waking hobo,"He mutters something under his breath, continues snoring",他嘟囔了句什么，继续打呼
Narr,47,Room- BoxCar,Wake up hobo,"Bending down, I shake him by the shoulder",我弯下腰，摇他的肩膀
,19,Room- BoxCar,Wake up hobo,He's gripping that hunk of rebar as if his life depended on it,他死死攥着那截钢筋，像攥着自己的命
Narr,48,Room- BoxCar,Wake up hobo,I fall back as the iron bar whistles past my face,铁棍擦着我的脸呼啸而过，我往后一仰
Mick,15,Room- BoxCar,Wake up hobo,"Hey, watch it!",嘿，你干什么！
TrainHobo,2,Room- BoxCar,Wake up hobo,Quiet! You'll get us killed again!,闭嘴！你又要害死我们俩！
Mick,16,Room- BoxCar,Wake up hobo,You've lost it mate,你疯了吧，老兄
TrainHobo,3,Room- BoxCar,Wake up hobo,You have to help-,你必须帮——
Narr,49,Room- BoxCar,Wake up hobo,"He glances to the side, listening",他朝旁边瞥了一眼，像在听什么
TrainHobo,4,Room- BoxCar,Wake up hobo,"You're right, tried that. He's no use",你说得对，试过了。他没用
Mick,17,Room- BoxCar,Wake up hobo,What?,什么？
TrainHobo,5,Room- BoxCar,Wake up hobo,Think... Think...,想……快想……
Narr,50,Room- BoxCar,Wake up hobo,He continues muttering under his breath,他继续压着嗓子自言自语
Mick,18,Room- BoxCar,Try talking down hobo,"Look, put it down",听着，把它放下
TrainHobo,6,Room- BoxCar,Try talking down hobo,I'll put it through your skull! Think... Think...,我把它捅进你脑袋里！想……快想……
Narr,51,Room- BoxCar,Try talking down hobo,"He returns to muttering to himself, eyes darting about wildly",他又开始自言自语，眼珠子疯狂乱转
Narr,52,Room- BoxCar,Look hobo while he's waving a bar at you,"The guy's got a screw loose, don't fancy my chances trying to grab that bar",这家伙脑子不正常，我可不想去抢那根棍子
Mick,19,Room- BoxCar,Talk to hobo trapped under tarp,Take it easy!,冷静点！
TrainHobo,7,Room- BoxCar,Talk to hobo trapped under tarp,"Get it off me! Can't cycle again, I'm going to lose it!",把这玩意儿弄开！不能再循环一次了，我要疯了！
Narr,53,Room- BoxCar,Talk to hobo trapped under tarp,"Bit late to worry about that, mate",这会儿才担心，有点晚了，老兄
Narr,54,Room- BoxCar,Hobo yells at you while trapped under tarp,He yells back incoherently and continues to flail around,他语无伦次地吼回来，继续乱扑腾
Narr,55,Room- BoxCar,Use tarp on hobo,"I throw the tarp over the raving man, wrestling him to the ground",我把防水布罩在这狂叫的人身上，把他按倒在地
,20,Room- BoxCar,Use tarp on hobo,"He flails about under the tarp, tangling himself further",他在布底下乱扑腾，把自己缠得更紧
TrainHobo,8,Room- BoxCar,Use tarp on hobo,Aach! Get it off! You don't know what you're doing!,啊！弄开它！你根本不知道自己在干什么！
Mick,20,Room- BoxCar,Use tarp on hobo,I gotta get outta here,我得离开这儿
Narr,56,Room- BoxCar,Use tarp on hobo before he attacks,I'll keep it,这个我留着
Narr,57,Room- BoxCar,Use bar on hobo,"I ponder giving the old guy a belt, but he can't do any harm all tangled up like that",我想过给这老家伙来一下，可他缠成这样也伤不了人了
,21,Room- BoxCar,SetDead,"Christ, I don't want to look at him",老天，我不想看他
,22,Room- BoxCar,Prop Description,Old tarp in the corner,角落里一块旧防水布
,23,Room- BoxCar,Prop Description,Rebar,钢筋
,24,Room- BoxCar,Prop Description,The tarp sits discarded on the floor,防水布被丢在地上
,25,Room- BoxCar,Prop Description,Dismiss,关闭
,26,Room- BoxCar,Hotspot Description,Light filters in from vents in the wall of the car,光从车厢壁的通风口渗进来
,27,Room- BoxCar,Hotspot Description,The heavy door's rusted and rotting,沉重的门锈迹斑斑，正在朽烂
,28,Room- BoxCar,Hotspot Description,"My bed for the night- a wooden pallet, covered in old rags",我今晚的床——一块木托盘，上面铺着破布
,29,Room- BoxCar,Hotspot Description,Small hatch up there,上面有个小舱口
,30,Room- BoxCar,Hotspot Description,Some empty crates huddle at one end of the car,几个空板条箱堆在车厢一头
,31,Room- BoxCar,Hotspot Description,My Pack,我的背包
,32,Room- Bridge,OnEnterRoom,If only I'd got the car going I could have used the heater,要是能把车发动起来，就能开暖风了
,33,Room- Bridge,OnEnterRoom,The jetty's too exposed,栈桥上太空旷了
,34,Room- Bridge,OnEnterRoom,"No sign of Bill, and the barrel is cold and damp",不见Bill的人影，火桶又冷又潮
,35,Room- Bridge,OnEnterRoom,Probably my best bet,这大概是最好的选择
Narr,58,Room- Bridge,After landing under bridge,"I lie there looking at the sky, trying to process what just happened",我躺在那儿望着天，努力消化刚才发生的事
Narr,59,Room- Bridge,After landing under bridge,"I hear the distant sound of sirens, and above me- shouts, doors slamming, tires on gravel",我听见远处的警笛，头顶上——喊叫、摔门、轮胎碾过碎石
Narr,60,Room- Bridge,After landing under bridge,Then silence,然后是寂静
Narr,61,Room- Bridge,After landing under bridge,At least my phone's not busted,至少手机没摔坏
Mick,21,Room- Bridge,"Returned to bridge, but everyone's gone",Hello?,有人吗？
Mick,22,Room- Bridge,"Returned to bridge, but everyone's gone",The keys are gone... My charger!,钥匙不见了……我的充电器！
Reporter,0,Room- Bridge,"Returned to bridge, but everyone's gone",No! Get off me you-,不！放开我，你这——
Reporter,1,Room- Bridge,"Returned to bridge, but everyone's gone",Aaah!,啊啊啊！
,36,Room- Bridge,"Returned to bridge, but everyone's gone",The shouts came from the jetty,喊声是从栈桥那边传来的
,37,Room- Bridge,"Returned to bridge, but everyone's gone",Empty. No keys. No charger,空的。没钥匙，没充电器
,38,Room- Bridge,"Returned to bridge, but everyone's gone",Whoever took my shit didn't go that way,拿走我东西的人没往那边走
,39,Room- Bridge,"Returned to bridge, but everyone's gone",No point fixing it now,现在修它没意义了
,40,Room- Bridge, Return to docks later on- meet detective,I guess the keys are at the bottom of the reservoir now,钥匙现在大概沉在水库底下了
,41,Room- Bridge, Return to docks later on- meet detective,There's a small jetty further along the waterfront,沿着岸边再往前有个小栈桥
,42,Room- Bridge, Return to docks later on- meet detective,The barrel is cold and damp,火桶又冷又潮
,43,Room- Bridge, Return to docks later on- meet detective,I don't really want to go back in there,我实在不想再进去了
Detective,0,Room- Bridge, Return to docks later on- meet detective,Sweetie! You came!,亲爱的！你还真来了！
Mick,23,Room- Bridge, Return to docks later on- meet detective,Hilarious,真好笑
Detective,1,Room- Bridge, Return to docks later on- meet detective,"Don't worry, we're safe. Team's done with the place",别紧张，安全。队里已经勘查完了
Detective,2,Room- Bridge, Return to docks later on- meet detective,"Thought you were going to blow town, anyway",我还以为你早跑出城了呢
Mick,24,Room- Bridge, Return to docks later on- meet detective,I was... Something came up,本来是……出了点事
Narr,62,Room- Bridge,Answer phone call from your sister,"I pick it up, screen flashing a blurry photo of my sister",我接起来，屏幕上闪着我姐姐那张模糊的照片
Mick,25,Room- Bridge,Answer phone call from your sister,Annie?,Annie？
Annie,0,Room- Bridge,Answer phone call from your sister,"Mick, hey!",Mick，嘿！
Mick,26,Room- Bridge,Answer phone call from your sister,"Yeah, hey",嗯，嘿
Annie,1,Room- Bridge,Answer phone call from your sister,How you doing? You in town yet? Can't wait to catch up!,你怎么样？到城里了吗？真等不及见你了！
Mick,27,Room- Bridge,Answer phone call from your sister, Uh... Sure,呃……还行
Annie,2,Room- Bridge,Answer phone call from your sister,"Jeez Mick, show some enthusiasm, we've got a funeral to plan!",老天Mick，拿出点劲头来，我们还得张罗葬礼呢！
Narr,63,Room- Bridge,Answer phone call from your sister,Same irrepressible Annie,还是那个压不住的Annie
Annie,3,Room- Bridge,Answer phone call from your sister,You in town yet? When are you getting here?,你到城里了吗？什么时候能到？
Annie,4,Room- Bridge,Answer phone call from your sister,"We need to go through Mum's things, find some photos for the wake",我们得整理老妈的东西，找几张照片给守灵用
Annie,5,Room- Bridge,Answer phone call from your sister,Did Uncle Phil call you?,菲尔叔叔给你打电话了吗？
Mick,28,Room- Bridge,Answer phone call from your sister,"Um, no. Did I need-",呃，没有。我需要——
Annie,6,Room- Bridge,Answer phone call from your sister,Ah never mind. You're staying at ours tonight yeah? Have the address?,算了。你今晚住我们家对吧？地址有吗？
Mick,29,Room- Bridge,Answer phone call from your sister,"Yeah, off Cooper Street right?",有，库珀街拐进去那个，对吧？
Annie,7,Room- Bridge,Answer phone call from your sister,"No Mick, Jesus! We moved over a year ago!",不对，Mick，老天！我们一年多前就搬了！
Mick,30,Room- Bridge,Answer phone call from your sister,"Ah, sorry. I-",啊，抱歉。我——
Narr,64,Room- Bridge,Answer phone call from your sister,Angry beeps from my phone,手机发出一串刺耳的提示音
Annie,8,Room- Bridge,Answer phone call from your sister,You gotta break outta that head of yours Mick. Talked to Sarah?,你得从自己那个脑子里走出来，Mick。跟Sarah谈过了吗？
Mick,31,Room- Bridge,Answer phone call from your sister,"Annie, my phone's gonna run out",Annie，我手机快没电了
Annie,9,Room- Bridge,Answer phone call from your sister,"Jesus, she's going to be at the funeral you know, you still haven't talked to her?",老天，她也会去葬礼的你知道吧，你到现在还没跟她说过话？
Mick,32,Room- Bridge,Answer phone call from your sister,"I can't, I- just tell me your address, my battery-",我做不到，我——你先告诉我地址，我电池——
Annie,10,Room- Bridge,Answer phone call from your sister,"I know it's hard for you, but you're gonna have to face her",我知道这对你很难，但你迟早得面对她
Mick,33,Room- Bridge,Answer phone call from your sister,Annie! Your address...,Annie！你的地址……
Annie,11,Room- Bridge,Answer phone call from your sister,"Ok ok, sorry, I know I shouldn't push you, but-",好好好，对不起，我知道不该逼你，可是——
Narr,65,Room- Bridge,Answer phone call from your sister,I look down at my dead phone,我低头看着已经黑屏的手机
Mick,34,Room- Bridge,Answer phone call from your sister,Shit,操
Narr,66,Room- Bridge,Answer phone call from your sister,No idea what her address is,完全不知道她住哪儿
Narr,67,Room- Bridge,Answer phone call from your sister,How am I supposed to remember they'd moved,我哪记得住他们搬过家
Narr,68,Room- Bridge,Answer phone call from your sister,Ugh. Better find a way to ring her back,唉。得想办法给她回个电话
Mick,35,Room- Bridge,OnShouldAnswerPhone,Gotta grab my phone,得去拿我的手机
Narr,69,Room- Bridge,OnInteractPropBag,"Pack must have caught something sharp on the way down, ripped her right open",背包掉下来的时候大概刮到什么尖东西了，整个豁开
Narr,70,Room- Bridge,OnInteractPropBag,"I fish out my phone's charge cable, the only thing worth salvaging",我摸出手机充电线，唯一还值得捡的东西
,44,Room- Bridge,OnInteractHotspotCarBonnet,The bonnet's open,引擎盖开着
Mick,36,Room- Bridge, Looking at car bonnet first time,Let's see what the damage is,看看伤得多重
Narr,71,Room- Bridge, Looking at car bonnet first time,Electrics look ok... smashed radiator... and a little low on wiper fluid,电路看着没事……水箱撞烂了……雨刷水也有点少
Narr,72,Room- Bridge, Looking at car bonnet first time,"It's not going anywhere, but it should start",这车是开不走了，但应该能打着火
Mick,37,Room- Bridge, Looking under bonnet when trying to fix car,"Ok, there must be something wrong under here",好吧，这下面肯定有毛病
Narr,73,Room- Bridge, Looking under bonnet when trying to fix car,It sounded like no fuel was getting through,听起来像是油没供上
,45,Room- Bridge, Looking under bonnet when trying to fix car,Bill might be able to help see what's wrong with the car,Bill或许能帮我看看车出了什么问题
,46,Room- Bridge, Looking under bonnet when trying to fix car,"If I could see under the hood while the engine was turning over, maybe I could figure out why the car's not starting",要是能在引擎转动的时候盯着盖子底下，也许就能弄清车为什么打不着
Narr,74,Room- Bridge, Looking under bonnet when trying to fix car,"Damn, still can't see anything wrong",见鬼，还是看不出哪儿不对
,47,Room- Bridge, Looking under bonnet when trying to fix car,The bonnet's down,引擎盖合上了
Narr,75,Room- Bridge,Look at the car,It stinks of petrol. They have must have siphoned some to try and torch it,一股汽油味。他们八成抽了点油想把车烧了
Narr,76,Room- Bridge,Look at the car,I glance around inside,我朝车里扫了一眼
Narr,77,Room- Bridge,Look at the car,"No keys, but the lighter-socket catches my eye. I think my phone charger has an adapter that'd fit",没有钥匙，但点烟器插座吸引了我。我记得手机充电器有个能插上去的适配头
Narr,78,Room- Bridge,Use car before plugged charger in,Should see if my charger will fit the lighter socket,该试试充电器能不能插进点烟器插座
Narr,79,Room- Bridge,Use car when dont' have keys,"I know my way round a car, but not enough to hotwire one",我懂点车，但还没到能短接打火的地步
Narr,80,Room- Bridge,Use car when dont' have keys,It'd take a special kind of stupid for a joyrider to hold onto the keys though,不过偷车兜风的人还留着钥匙，那得蠢到一定境界
Narr,81,Room- Bridge,Use car when dont' have keys,Might find 'em around here somewhere,说不定就掉在这附近
Narr,82,Room- Bridge,Plug phone charger into car,I toss the cigarette lighter and plug my phone into the socket,我把点烟器扔开，把手机插进插座
Narr,83,Room- Bridge,Plug phone charger into car,Nothing,没反应
Narr,84,Room- Bridge,Plug phone charger into car,Might only charge while the engine's running,大概得发动着才能充
Narr,85,Room- Bridge,Plug phone charger into car,And the keys aren't in the ignition,可钥匙不在点火孔里
Narr,86,Room- Bridge,Plug phone charger into car,God damn it,该死的
Narr,87,Room- Bridge,Try car key on car,Leaning in I try the key,我探进身去试钥匙
Narr,88,Room- Bridge,Try car key on car,The red charging light on my phone blinks on...,手机上的红色充电灯亮了……
Narr,89,Room- Bridge,Try car key on car,But then the engine splutters and dies,可引擎咳了两声就熄了
Narr,90,Room- Bridge,Try car key on car,Guess they drained all the fuel trying to burn the bastard,看来他们为了烧这破车把油全抽干了
Narr,91,Room- Bridge,Try car key on car,"It's still not firing, better check the engine again",还是打不着，再去看看引擎
Narr,92,Room- Bridge,Try phone on car before using charger,Hmm. I think my phone charger had a twelve volt adapter for a car,嗯。我记得手机充电器带个车用十二伏适配头
Narr,93,Room- Bridge,Try phone on car before using charger,Should still be in my pack,应该还在包里
,48,Room- Bridge,Fill car with petrol,Empty jerrycan,空油桶
Narr,94,Room- Bridge,Fill car with petrol,Metallic smell of old petrol stings my nostrils as it glugs into the tank,陈汽油的金属味冲进鼻子，油咕嘟咕嘟灌进油箱
Narr,95,Room- Bridge,Use empty can on car,The can's empty now. Should be enough in the tank though,桶空了。不过油箱里应该够了
Narr,96,Room- Bridge,StartChapter2,"Consciousness creeps slowly back, and with it the freezing cold",意识慢慢爬回来，跟着回来的是刺骨的冷
Narr,97,Room- Bridge,StartChapter2,My hands are numb. Unresponsive lumps that wipe muck from my eyes,手冻麻了。两坨不听使唤的东西，胡乱抹掉眼睛上的泥
Narr,98,Room- Bridge,StartChapter2,I look out at the dark water,我望向黑沉沉的水面
Narr,99,Room- Bridge,StartChapter2,Was all that really under there?,那些东西真的就在下面？
Narr,100,Room- Bridge,StartChapter2,"As if in answer, I glimpse a spotlight through the sleet. Flicking left, then right...",像是回应我，雨雪里晃过一道探照灯。往左，又往右……
Narr,101,Room- Bridge,StartChapter2,Searching...,在搜……
Mick,38,Room- Bridge,StartChapter2,C-Christ it's cold,老……老天，太冷了
Narr,102,Room- Bridge,StartChapter2,Gotta get out of the open,得离开空地
Narr,103,Room- Bridge,StartChapter2,Get warm,得暖和起来
Mick,39,Room- Bridge,OnInteractCharacterBill,Bill? Is that you?,Bill？是你吗？
Bill,0,Room- Bridge,OnInteractCharacterBill,Mick! What are you doing here?,Mick！你怎么在这儿？
Narr,104,Room- Bridge,OnInteractCharacterBill,Bill used to hang out around the shelter where Sarah worked. Known him since I was a kid,Bill以前常在Sarah工作的收容所附近晃。我从小就认识他
Mick,40,Room- Bridge,OnInteractCharacterBill,"Ahh, back for a funeral",啊，回来奔丧
Mick,41,Room- Bridge,OnInteractCharacterBill,Mum ah...,老妈她……
Mick,42,Room- Bridge,OnInteractCharacterBill,Mum died,老妈走了
Bill,1,Room- Bridge,OnInteractCharacterBill,"Oh, Mick, I'm sorry",哦，Mick，节哀
Mick,43,Room- Bridge,OnInteractCharacterBill,"Yeah, it's ok, long time coming, she'd been, umm... she'd been sick for a while",嗯，没事，早有心理准备了，她……嗯……病了有阵子了
Bill,2,Room- Bridge,OnInteractCharacterBill,You don't sound ok,你听着可不像没事
Mick,44,Room- Bridge,OnInteractCharacterBill,I dunno,我也说不好
,49,Room- Bridge,OnInteractCharacterBill,Bill's warming his hands by the fire,Bill正在火边烤手
Narr,105,Room- Bridge,"Talk to bill, but nothing more to say","Despite not having seen Bill for years, I can't think of much to say",好几年没见Bill了，可我实在想不出什么话说
Bill,39,Room- Bridge,OnUseInvHotspotBarrel,"Whoa whoa woah, what you thinking boy?",哎哎哎，你想干嘛，小子？
Bill,40,Room- Bridge,OnUseInvHotspotBarrel,You'll singe me beard!,你要把我胡子燎了！
Mick,45,Room- Bridge,Show bill the phone charger,Know anywhere I could plug this in?,知道哪儿能插这个充电吗？
Bill,3,Room- Bridge,Show bill the phone charger,Kid at the deli up the corner lets me charge mine there if I need it,街角熟食店那孩子，我要用的话会让我在那儿充
Bill,4,Room- Bridge,Show bill the phone charger,Closed now though,不过现在关门了
Mick,46,Room- Bridge,Show bill the phone charger,Great. Thanks,好极了。谢了
Bill,5,Room- Bridge,Show bill the phone charger,"Hey, you asked",嘿，是你问的
Mick,47,Room- Bridge,Show bill the jerrycan,Remember when you caught me huffing this stuff?,还记得你逮到我吸这玩意儿那回吗？
Bill,6,Room- Bridge,Show bill the jerrycan,"Yeah, you were what... seventeen?",记得，你那会儿多大……十七？
Mick,48,Room- Bridge,Show bill the jerrycan,"Dragged my arse over to The Pitt, checked me in",把我拖到「深坑」，给我办了入院
Bill,7,Room- Bridge,Show bill the jerrycan,"You straightened out pretty good after that, eh?",那之后你不是改得挺好的嘛？
Mick,49,Room- Bridge,Show bill the jerrycan,"Met Sarah there... Turned things around, started teaching",在那儿认识了Sarah……日子扭过来了，开始教书
Bill,8,Room- Bridge,Show bill the jerrycan,"Yup, yup",嗯，嗯
,50,Room- Bridge,Prop Description,My phone must have fallen from my pack,我的手机一定是从包里掉出来了
,51,Room- Bridge,Prop Description,"My pack's in tatters, contents strewn everywhere",我的包破成一片片，东西撒了一地
,52,Room- Bridge,Hotspot Description,There's a way under the bridge,有条路能通到桥下
,53,Room- Bridge,Hotspot Description,The bonnet's slightly crumpled but should open,引擎盖有点变形，不过应该能打开
,54,Room- Bridge,Hotspot Description,Someone's joyride ended here,有人的兜风之旅在这儿画上了句号
,55,Room- Bridge,Hotspot Description,There's a small jetty further along the waterfront,沿着岸边再往前有个小栈桥
,56,Room- Bridge,Hotspot Description,Dull warm glow from an old barrel,旧油桶里透出昏黄的暖光
,57,Room- Bridge,Hotspot Description,"Clothes lay scattered, torn or caked with mud. Nothing salvageable",衣服散了一地，不是撕破就是糊满泥。没什么能捡的
,58,Room- Bridge,Hotspot Description,All quiet up there now. I think the sirens scared them off,上面现在安静了。估计是警笛把他们吓跑了
,59,Room- Bridge,Hotspot Description,"A concrete bank slopes down into the reservoir, slick with mud",水泥堤坡斜插进水库，上面滑腻腻全是泥
Reporter,2,Room- UnderBridge,"Intro to reporter, she's trying to talk to sleeping homeless man",Good evening sir!,晚上好，先生！
Reporter,3,Room- UnderBridge,"Intro to reporter, she's trying to talk to sleeping homeless man","My name's Angela Grace, I write for the Herald. Can I ask your name?",我叫Angela Grace，the Herald的记者。能请教您贵姓吗？
Reporter,4,Room- UnderBridge,"Intro to reporter, she's trying to talk to sleeping homeless man","Ok, well, you don't have to tell me",好吧，不说也没关系
